"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","get_user() maps JSON response onto UserResponse model","tests.unit","2026-08-21","passed","2026-08-21","","test_user_client","",""
"","177","POST /api/register returns a token for a valid known user","tests.api","2026-08-21","passed","2026-08-21","TestRegister","test_auth","",""
"POST is never retried on a transport error either — a dropped connection gives even
    less certainty than a 503 about whether the server processed the create.","38","test_post_does_not_retry_on_transport_error","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"_validate() lives on BaseClient (not any one concrete client) precisely so this
    works standalone, with no HTTP call and no subclass involved.","0","test_validate_maps_matching_data_onto_model","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","167","POST /api/register without a password raises APIError","tests.api","2026-08-21","passed","2026-08-21","TestRegister","test_auth","",""
"","204","test_get_retries_on_transport_error_then_succeeds","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"Environment variables take priority over field defaults.","1","test_environment_variables_override_defaults","tests.unit","2026-08-21","passed","2026-08-21","","test_config","",""
"","0","test_validate_raises_schema_validation_error_on_mismatched_data","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","609","test_get_raises_transport_error_after_exhausting_retries","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","205","test_get_retries_on_503_then_succeeds","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","5","test_get_returns_response_on_200","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","4","register() raises SchemaValidationError when the response doesn't match RegisterResponse","tests.unit","2026-08-21","passed","2026-08-21","","test_auth_client","",""
"","3","login() sends correct JSON body and maps response onto LoginResponse","tests.unit","2026-08-21","passed","2026-08-21","","test_auth_client","",""
"","2","get_user() raises NotFoundError on 404","tests.unit","2026-08-21","passed","2026-08-21","","test_user_client","",""
"","4","test_get_raises_not_found_error_on_404","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","4","get_user() raises SchemaValidationError when the response doesn't match UserResponse","tests.unit","2026-08-21","passed","2026-08-21","","test_user_client","",""
"","2","test_get_raises_api_error_on_500","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","92","DELETE /api/users/2 returns True","tests.api","2026-08-21","passed","2026-08-21","TestDeleteUser","test_users","",""
"","608","test_get_raises_api_error_after_exhausting_retries_on_503","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","1","test_api_key_is_kept_secret_in_repr","tests.unit","2026-08-21","passed","2026-08-21","","test_config","",""
"POST is never retried, even on a transient-looking 503 — retrying a create risks
    creating a duplicate resource since we can't tell if the original was processed.","20","test_post_does_not_retry_on_503","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"With no .env file and no environment variables, fields fall back to their
    declared defaults.","0","test_defaults_load_correctly_without_env_file","tests.unit","2026-08-21","passed","2026-08-21","","test_config","",""
"","4","register() sends correct JSON body and maps response onto RegisterResponse","tests.unit","2026-08-21","passed","2026-08-21","","test_auth_client","",""
"","0","test_sanity","tests.unit","2026-08-21","passed","2026-08-21","","test_sanity","",""
"","3","create_user() sends correct JSON body and maps response onto UserCreateResponse","tests.unit","2026-08-21","passed","2026-08-21","","test_user_client","",""
"","3","login() raises APIError on 400 (missing password)","tests.unit","2026-08-21","passed","2026-08-21","","test_auth_client","",""
"","2","delete_user() returns True on 204 No Content","tests.unit","2026-08-21","passed","2026-08-21","","test_user_client","",""
"The module-level `settings` singleton should load with the documented defaults
    when no environment variables or .env overrides are present beyond what ships
    in the repo's own .env file (which mirrors the defaults).","0","test_settings_singleton_uses_default_values","tests.unit","2026-08-21","passed","2026-08-21","","test_config","",""
"","163","POST /api/login returns a token for a valid known user","tests.api","2026-08-21","passed","2026-08-21","TestLogin","test_auth","",""
"","1","test_api_key_defaults_to_none_and_is_optional","tests.unit","2026-08-21","passed","2026-08-21","","test_config","",""
"","3","test_post_sends_json_body_and_default_headers","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"","24","test_context_manager_closes_client","tests.unit","2026-08-21","passed","2026-08-21","","test_base_client","",""
"Proves BaseClient's _STATUS_TO_EXCEPTION mapping is genuinely shared: no auth-specific
    exception handling was added anywhere, yet a 401 from a completely different endpoint
    still raises the same UnauthorizedError that UserClient relies on.","5","login() raises UnauthorizedError on 401 (wrong password)","tests.unit","2026-08-21","passed","2026-08-21","","test_auth_client","",""
"","19","GET /api/users/2 returns a valid UserResponse","tests.api","2026-08-21","passed","2026-08-21","TestGetUser","test_users","",""
"","166","GET /api/users/9999 raises NotFoundError","tests.api","2026-08-21","passed","2026-08-21","TestGetUser","test_users","",""
"","167","POST /api/users returns UserCreateResponse with matching fields","tests.api","2026-08-21","passed","2026-08-21","TestCreateUser","test_users","",""
"","3","register() raises APIError on 400 (missing password)","tests.unit","2026-08-21","passed","2026-08-21","","test_auth_client","",""
"","170","POST /api/login without a password raises APIError","tests.api","2026-08-21","passed","2026-08-21","TestLogin","test_auth","",""
